fecha;mes;festivo;npasajeros;intensidad_evento;inten_lluvia;ocupacion_trafico;semana_mes;day_of_week
2015-12-24;12;0;1819;0;0.0;63.7090909091;2;3
2015-12-25;12;1;1246;0;0.0;43.8611111111;2;4
2015-12-26;12;0;2830;0;0.0;58.2;2;5
2015-12-27;12;0;2117;0;0.0;56.9534883721;2;6
2015-12-28;12;0;3835;0;0.5;80.664;2;0
2015-12-29;12;0;3839;0;0.0;90.8837209302;2;1
2015-12-30;12;0;3500;0;0.0;133.526315789;2;2
2015-12-31;12;0;1524;0;0.0;51.914893617;2;3
2016-01-01;1;1;1108;0;2.8;48.3773584906;0;4
2016-01-02;1;0;2676;0;0.1;73.9462365591;0;5
2016-01-03;1;0;1913;0;0.1;58.3095238095;0;6
2016-01-04;1;0;4171;0;3.7;89.8921568627;0;0
2016-01-05;1;0;3141;0;0.0;83.1691176471;0;1
2016-01-06;1;1;1185;0;0.1;52.6923076923;0;2
2016-01-07;1;0;4051;0;0.0;67.9577464789;0;3
2016-01-08;1;0;3767;0;0.5;69.3956834532;1;4
2016-01-09;1;0;2775;0;0.0;58.752688172;1;5
2016-01-10;1;0;1643;0;1.6;61.9090909091;1;6
2016-01-11;1;0;4022;0;0.0;63.3779527559;1;0
2016-01-12;1;0;4305;0;0.0;66.6904761905;1;1
2016-01-13;1;0;4331;0;0.0;75.4527027027;1;2
2016-01-14;1;0;3919;0;1.4;79.3356164384;1;3
2016-01-15;1;0;3964;0;0.0;76.5479452055;1;4
2016-01-16;1;0;2751;0;0.0;70.28125;1;5
2016-01-17;1;0;2072;0;0.0;62.3510638298;1;6
2016-01-18;1;0;3893;0;0.0;78.7254901961;1;0
2016-01-19;1;0;4016;0;0.0;65.6621621622;1;1
2016-01-20;1;0;3917;0;0.0;75.2602739726;1;2
2016-01-21;1;0;4067;0;0.0;71.9947916667;1;3
2016-01-22;1;0;4003;0;0.7;70.4236111111;2;4
2016-01-23;1;0;2907;0;0.0;57.0934579439;2;5
2016-01-24;1;0;2343;0;0.0;59.712962963;2;6
2016-01-25;1;0;4095;0;0.0;62.5763888889;2;0
2016-01-26;1;0;4005;0;0.0;69.0222222222;2;1
2016-01-27;1;0;4218;0;0.0;63.1676646707;2;2
2016-01-28;1;0;3978;0;1.2;74.0225988701;2;3
2016-01-29;1;0;3769;0;0.0;76.3693693694;2;4
2016-01-30;1;0;2722;0;0.0;60.9174311927;2;5
2016-01-31;1;0;2068;0;0.0;58.9347826087;2;6
2016-02-01;2;0;4053;0;0.0;58.5361445783;0;0
2016-02-02;2;0;4109;0;0.0;70.7401574803;0;1
2016-02-03;2;0;4241;0;0.0;71.4036144578;0;2
2016-02-04;2;0;4187;0;0.0;83.1782945736;0;3
2016-02-05;2;0;3918;0;0.0;75.1967213115;0;4
2016-02-06;2;0;2382;0;0.0;51.9636363636;0;5
2016-02-07;2;0;1940;0;0.0;60.3292682927;0;6
2016-02-08;2;0;4264;0;0.0;60.06875;1;0
2016-02-09;2;0;3757;0;0.6;79.109375;1;1
2016-02-10;2;0;3972;0;0.0;84.3314285714;1;2
2016-02-11;2;0;3957;0;0.3;90.3309352518;1;3
2016-02-12;2;0;3597;0;4.4;109.317757009;1;4
2016-02-13;2;0;2230;0;2.3;76.3366336634;1;5
2016-02-14;2;0;1773;0;0.5;70.4186046512;1;6
2016-02-15;2;0;3825;0;0.0;76.852173913;1;0
2016-02-16;2;0;3792;0;0.0;56.3506493506;1;1
2016-02-17;2;0;4006;0;0.0;76.3333333333;1;2
2016-02-18;2;0;3845;0;1.5;71.6315789474;1;3
2016-02-19;2;0;3946;0;0.0;84.6044776119;1;4
2016-02-20;2;0;2805;0;0.0;62.435483871;1;5
2016-02-21;2;0;2105;0;0.0;57.2772277228;1;6
2016-02-22;2;0;4018;0;0.0;55.6049382716;2;0
2016-02-23;2;0;4133;0;0.0;58.1428571429;2;1
